19.614471,16.674850,6.822220
19.614471,16.827133,6.522339
19.614471,15.761154,6.072525
20.043198,16.065720,6.222458
19.185745,16.674850,6.522339
20.471939,17.131699,6.822220
19.078552,16.598709,6.147491
19.507294,16.141861,5.847611
18.971375,15.913437,6.072525
18.971375,15.304306,6.822220
20.257568,16.979416,7.122101
19.507294,15.989578,6.297424
19.400101,16.674850,6.672272
19.078552,15.989578,5.697678
19.614471,15.608871,6.822220
18.328278,16.370285,6.372406
19.614471,16.065720,6.522339
19.292923,16.294144,6.747253
19.721649,16.446426,5.697678
18.864182,15.989578,6.147491
18.971375,16.065720,6.522339
18.757004,16.522568,6.972153
18.328278,16.522568,6.972153
18.006729,17.207825,6.747253
16.613342,16.065720,6.522339
16.506165,16.141861,6.747253
16.506165,16.294144,6.897186
16.077438,16.141861,7.047119
15.863068,16.141861,6.597305
15.648697,16.446426,6.897186
16.291794,16.598709,6.447372
17.042084,16.218002,6.672272
17.256439,16.218002,6.222458
17.363632,16.141861,6.447372
18.542633,16.522568,6.972153
22.722778,16.750992,6.297424
25.509537,17.055557,5.397797
27.546005,15.913437,4.423187
29.260941,16.522568,4.123322
29.904038,16.827133,3.223679
31.297409,17.055557,3.448593
32.476425,16.827133,2.024170
33.655441,16.446426,1.349442
34.084167,16.294144,0.299866
34.941635,16.750992,-0.899643
36.335007,17.893097,-0.224915
36.870926,16.903275,-1.799271
37.514023,16.598709,-2.548965
37.728378,15.989578,-3.298660
39.336136,16.370285,-4.273270
40.193588,15.456589,-5.022964
41.694153,14.542908,-6.072540
42.658798,12.639374,-7.047134
42.658798,10.355148,-7.646896
42.337250,9.822159,-7.721863
43.301895,8.832336,-7.646896
44.159363,6.700394,-7.496964
44.480911,4.340027,-6.822235
41.372604,0.152267,-5.997574
39.872040,-2.131958,-5.547745
39.979233,-2.360382,-3.823456
38.693039,-2.360382,-2.623947
38.049942,0.685257,-0.524796
37.406830,2.360367,1.874237
34.941635,2.741058,3.148712
31.726135,4.263886,6.147491
